index,id,kind,phase,strength,owner,internal_spec_line,file
5703,rule.24.Cleanup-Cons-DropStatic-Panic,formal-rule,runtime,required,spec.cleanup,94954,Compiler/Semantics/Initialization/Cleanup.uv
5704,rule.24.Cleanup-Cons-Defer-Ok,formal-rule,runtime,required,spec.cleanup,94970,Compiler/Semantics/Initialization/Cleanup.uv
5705,rule.24.Cleanup-Cons-Defer-Panic,formal-rule,runtime,required,spec.cleanup,94986,Compiler/Semantics/Initialization/Cleanup.uv
5706,def.24.CleanupScopeJudg,formal-definition,runtime,required,spec.cleanup,95002,Compiler/Semantics/Initialization/Cleanup.uv
5707,rule.24.CleanupScope-From-SmallStep,formal-rule,runtime,required,spec.cleanup,95015,Compiler/Semantics/Initialization/Cleanup.uv
5708,rule.24.Unwind-Step,formal-rule,runtime,required,spec.cleanup,95031,Compiler/Semantics/Initialization/Cleanup.uv
5709,rule.24.Unwind-Abort,formal-rule,runtime,required,spec.cleanup,95047,Compiler/Semantics/Initialization/Cleanup.uv
5710,def.24.RuntimeIfcJudg,formal-definition,lowering,required,spec.runtime-interface,95069,Compiler/Backend/IR/RuntimeSymbols.uv
5711,def.24.BuiltinModalLayoutSpec,formal-definition,lowering,required,spec.runtime-interface,95082,Compiler/Backend/IR/RuntimeSymbols.uv
5712,rule.24.BuiltinModalLayout,formal-rule,lowering,required,spec.runtime-interface,95095,Compiler/Backend/IR/RuntimeSymbols.uv
5713,def.24.BuiltinModalSymMap,formal-definition,lowering,required,spec.runtime-interface,95111,Compiler/Backend/IR/RuntimeSymbols.uv
5714,rule.24.BuiltinModalSym,formal-rule,lowering,required,spec.runtime-interface,95138,Compiler/Backend/IR/RuntimeSymbols.uv
5715,rule.24.RegionAddr-AddrIsActive,formal-rule,lowering,required,spec.runtime-interface,95154,Compiler/Backend/IR/RuntimeSymbols.uv
5716,rule.24.RegionAddr-AddrTagFrom,formal-rule,lowering,required,spec.runtime-interface,95169,Compiler/Backend/IR/RuntimeSymbols.uv
5717,rule.24.BuiltinSym-FileSystem-OpenRead,formal-rule,lowering,required,spec.runtime-interface,95184,Compiler/Backend/IR/RuntimeSymbols.uv
5718,rule.24.BuiltinSym-FileSystem-OpenWrite,formal-rule,lowering,required,spec.runtime-interface,95199,Compiler/Backend/IR/RuntimeSymbols.uv
5719,rule.24.BuiltinSym-FileSystem-OpenAppend,formal-rule,lowering,required,spec.runtime-interface,95214,Compiler/Backend/IR/RuntimeSymbols.uv
5720,rule.24.BuiltinSym-FileSystem-CreateWrite,formal-rule,lowering,required,spec.runtime-interface,95229,Compiler/Backend/IR/RuntimeSymbols.uv
5721,rule.24.BuiltinSym-FileSystem-ReadFile,formal-rule,lowering,required,spec.runtime-interface,95244,Compiler/Backend/IR/RuntimeSymbols.uv
5722,rule.24.BuiltinSym-FileSystem-ReadBytes,formal-rule,lowering,required,spec.runtime-interface,95259,Compiler/Backend/IR/RuntimeSymbols.uv
5723,rule.24.BuiltinSym-FileSystem-WriteFile,formal-rule,lowering,required,spec.runtime-interface,95274,Compiler/Backend/IR/RuntimeSymbols.uv
5724,rule.24.BuiltinSym-FileSystem-WriteStdout,formal-rule,lowering,required,spec.runtime-interface,95289,Compiler/Backend/IR/RuntimeSymbols.uv
5725,rule.24.BuiltinSym-FileSystem-WriteStderr,formal-rule,lowering,required,spec.runtime-interface,95304,Compiler/Backend/IR/RuntimeSymbols.uv
5726,rule.24.BuiltinSym-FileSystem-Exists,formal-rule,lowering,required,spec.runtime-interface,95319,Compiler/Backend/IR/RuntimeSymbols.uv
5727,rule.24.BuiltinSym-FileSystem-Remove,formal-rule,lowering,required,spec.runtime-interface,95334,Compiler/Backend/IR/RuntimeSymbols.uv
5728,rule.24.BuiltinSym-FileSystem-OpenDir,formal-rule,lowering,required,spec.runtime-interface,95349,Compiler/Backend/IR/RuntimeSymbols.uv
5729,rule.24.BuiltinSym-FileSystem-CreateDir,formal-rule,lowering,required,spec.runtime-interface,95364,Compiler/Backend/IR/RuntimeSymbols.uv
5730,rule.24.BuiltinSym-FileSystem-EnsureDir,formal-rule,lowering,required,spec.runtime-interface,95379,Compiler/Backend/IR/RuntimeSymbols.uv
5731,rule.24.BuiltinSym-FileSystem-Kind,formal-rule,lowering,required,spec.runtime-interface,95394,Compiler/Backend/IR/RuntimeSymbols.uv
5732,rule.24.BuiltinSym-FileSystem-Restrict,formal-rule,lowering,required,spec.runtime-interface,95409,Compiler/Backend/IR/RuntimeSymbols.uv
5733,rule.24.BuiltinSym-Network-RestrictHost,formal-rule,lowering,required,spec.runtime-interface,95424,Compiler/Backend/IR/RuntimeSymbols.uv
5734,rule.24.BuiltinSym-HeapAllocator-WithQuota,formal-rule,lowering,required,spec.runtime-interface,95439,Compiler/Backend/IR/RuntimeSymbols.uv
5735,rule.24.BuiltinSym-HeapAllocator-AllocRaw,formal-rule,lowering,required,spec.runtime-interface,95454,Compiler/Backend/IR/RuntimeSymbols.uv
5736,rule.24.BuiltinSym-HeapAllocator-DeallocRaw,formal-rule,lowering,required,spec.runtime-interface,95469,Compiler/Backend/IR/RuntimeSymbols.uv
5737,rule.24.BuiltinSym-Reactor-Run,formal-rule,lowering,required,spec.runtime-interface,95484,Compiler/Backend/IR/RuntimeSymbols.uv
5738,rule.24.BuiltinSym-Reactor-Register,formal-rule,lowering,required,spec.runtime-interface,95499,Compiler/Backend/IR/RuntimeSymbols.uv
5739,rule.24.BuiltinSym-System-Exit,formal-rule,lowering,required,spec.runtime-interface,95514,Compiler/Backend/IR/RuntimeSymbols.uv
5740,rule.24.BuiltinSym-System-GetEnv,formal-rule,lowering,required,spec.runtime-interface,95529,Compiler/Backend/IR/RuntimeSymbols.uv
5741,rule.24.BuiltinSym-System-ExecutablePath,formal-rule,lowering,required,spec.runtime-interface,95544,Compiler/Backend/IR/RuntimeSymbols.uv
5742,rule.24.BuiltinSym-System-ArgumentCount,formal-rule,lowering,required,spec.runtime-interface,95559,Compiler/Backend/IR/RuntimeSymbols.uv
5743,rule.24.BuiltinSym-System-Argument,formal-rule,lowering,required,spec.runtime-interface,95574,Compiler/Backend/IR/RuntimeSymbols.uv
5744,rule.24.BuiltinSym-System-CurrentDirectory,formal-rule,lowering,required,spec.runtime-interface,95589,Compiler/Backend/IR/RuntimeSymbols.uv
